court_id,opinion_count
nyappdiv,774668
scotus,521265
texapp,502421
fladistctapp,351140
ca9,222098
la,213246
ca5,203963
ca4,173874
illappct,171956
ohioctapp,163629
calctapp,163569
pasuperct,145535
pa,142002
lactapp,131280
ny,130199
gactapp,128754
nysupct,119577
ca2,114945
ca6,109179
moctapp,107163
ca8,106344
mich,101821
ca3,99696
nc,97632
texcrimapp,93821
ca7,92046
ohio,91030
ca11,90565
washctapp,85591
nj,83892
ala,82265
ga,81507
indctapp,78549
fla,75635
ca10,70109
neb,68572
ill,65305
mass,64879
tax,63299
ark,62800
mont,61573
miss,60058
iowa,59520
wash,58831
cal,57606
ind,56287
kyctapp,55952
cafc,54525
michctapp,52905
minn,52316
mo,51968
okla,51633
wis,51054
cadc,50708
nysd,50295
connsuperct,50093
ncctapp,48523
kan,46704
prsupreme,46282
cusc,45873
pacommwct,43929
ca1,43749
orctapp,43629
njsuperctappdiv,42862
dcd,42674
or,41959
md,41064
conn,38759
tenn,38001
tex,37235
wva,37190
sc,37019
nev,36541
colo,34486
me,30823
va,29837
bta,29431
nd,27043
vt,26967
uscfc,26706
ri,26485
alacrimapp,26482
utah,25812
tennctapp,25761
arizctapp,25672
dc,25533
alactapp,25301
tenncrimapp,25293
sd,25076
oklacrimapp,24910
nyappterm,24077
alacivapp,23530
idaho,23236
texag,22943
cc,22316
vactapp,22124
kyctapphigh,22119
coloctapp,21297
paed,20910
connappct,20837
iowactapp,20777
nh,20406
ilnd,19592
haw,18038
minnctapp,17838
nyed,17807
wisctapp,16922
kanctapp,16753
ariz,16484
nm,16310
massappct,16022
wyo,15629
del,15168
hawapp,15168
nysurct,15148
nmctapp,14906
mad,14836
nychanct,14656
arkctapp,13947
missctapp,13591
ccpa,12721
scctapp,12243
ky,11504
mdctspecapp,11396
oklaag,11313
idahoctapp,10580
delsuperct,10530
alaska,10303
ilclaimsct,9978
cand,9385
cma,9301
mied,8886
utahctapp,8466
arkag,8456
mdd,8442
njd,8413
pawd,8356
prd,8022
nysuperctnyc,7982
ncworkcompcom,7926
masssuperct,7782
vaed,7581
flsd,7520
oklacivapp,7382
laag,7302
cit,7249
ctd,7132
ksd,7128
nyctcompl,7071
armfor,6657
ded,6522
nynyccityct,6427
massdistctapp,6418
txsd,5953
ohnd,5874
mnd,5846
nywd,5793
nebctapp,5720
bva,5709
circtsdny,5660
pactcomplphilad,5632
cod,5451
risuperct,5401
laed,5349
wvctcl,5325
moed,5263
wied,5198
gand,5163
nycountyct,5127
cacd,4948
ohsd,4934
nynd,4893
pamd,4827
flmd,4793
mspb,4484
mowd,4368
delch,4166
med,4140
ord,4114
txnd,4106
flaag,3982
flmb,3844
bap9,3838
casd,3824
cavc,3801
texcommnapp,3683
vawd,3572
nycivct,3501
ohiocirct,3499
alaskactapp,3489
njch,3309
almd,3208
asbca,3147
prapp,3120
bia,3102
wawd,3062
nysb,3041
nhsuperct,3029
innd,2893
tned,2892
circtddc,2859
nmcca,2830
rid,2747
scd,2747
nyag,2708
lawd,2693
nyclaimsct,2692
miwd,2678
vtsuperct,2665
ortc,2660
mssd,2618
nebag,2615
moag,2561
paeb,2559
usarmymilrev,2550
nycterr,2512
ilnb,2443
txed,2422
hid,2390
alnd,2327
txwd,2305
nced,2304
uscirct,2283
nvd,2268
flsb,2249
insd,2248
ohioctcl,2245
kywd,2225
ohnb,2189
amsamoa,2185
circtdma,2169
acca,2155
ohsb,2155
vid,2153
flacirct,2130
azd,2122
caed,2115
wvsd,2089
okwd,2083
paorphctphilad,2073
iand,2071
jpml,2069
nycfamct,2060
nmd,2041
ned,2027
ared,2023
calctapp5d,2021
